Year,Collection,clutch,Date collected,RAF Airbase,No. eggs,No. fertile,Date start hatch,No. hatch,No. released,No. days incubated on collection,Notes
2024,3,6,09/05/24,Barkston Heath,4,4,04/06/2024,3,3,,
2024,4,7,10/05/24,Mildenhall,1,1,25/05/2024,1,1,,
2024,4,8,10/05/24,Mildenhall,3,3,20/05/2024,3,3,,
2024,5,9,13/05/24,Leeming,4,4,06/06/2024,4,4,,
2024,5,10,13/05/24,Leeming,4,4,04/06/2024,4,4,,
2024,5,11,13/05/24,Leeming,4,4,22/05/2024,4,3,,
2024,6,12,14/05/24,Barkston Heath,4,4,05/06/2024,4,4,,
2024,6,13,14/05/24,Barkston Heath,4,4,07/06/2024,2,2,,
2024,7,14,31/05/24,Barkston Heath,2,2,28/06/2024,2,2,,
2024,7,15,31/05/24,Barkston Heath,4,4,27/06/2024,2,1,,
2024,7,16,31/05/24,Barkston Heath,4,4,24/06/2024,2,2,,
2024,8,17,07/06/24,Barkston Heath,4,4,04/07/2024,3,3,,
2024,8,18,07/06/24,Barkston Heath,2,2,03/07/2024,2,1,,
2024,9,19,10/06/24,Leeming,2,0,,0,0,,
2024,9,20,10/06/24,Leeming,4,4,22/06/2024,3,2,,
2025,1,1,29/04/2025,Leeming,4,4,24/05/2025,3,3,,
2025,2,2,01/05/2025,Barkston Heath,4,4,27/05/2025,4,4,,
2025,2,3,01/05/2025,Barkston Heath,3,2,29/05/2025,2,1,,
2025,2,4,01/05/2025,Barkston Heath,4,4,29/05/2025,3,3,,
2025,3,5,02/05/2025,Lakenheath,4,2,25/05/2025,1,1,,
2025,4,6,06/05/2025,Leeming,4,4,31/05/2025,4,4,,
2025,4,7,06/05/2025,Topcliffe,4,4,31/05/2025,4,4,,
2025,4,8,06/05/2025,Topcliffe,3,3,29/05/2025,3,3,,
2025,5,9,08/05/2025,Barkston Heath,3,3,04/06/2025,2,2,,
2025,5,10,08/05/2025,Marham,4,4,28/05/2025,4,4,,
2025,6,11,09/05/2025,Coningsby,4,4,26/05/2025,4,4,,
2025,6,12,09/05/2025,Mildenhall,3,3,02/06/2025,3,3,,
2025,7,13,13/05/2025,Leeming,4,4,05/06/2025,4,4,,
2025,8,14,14/05/2025,Fairford,4,4,28/05/2025,4,3,,
2025,9,15,22/05/2025,Wittering,4,4,28/05/2025,4,4,,
2025,10,16,30/05/2025,Topcliffe,3,0,,0,0,,
2025,11,17,05/06/2025,Benson,4,4,25/06/2025,4,,,
2025,11,18,05/06/2025,Cranwell,4,4,24/06/2025,4,,,
2025,12,19,06/06/2025,Barkston Heath,2,2,14/06/2025,2,,,
2025,13,20,10/06/2025,Wittering,2,0,,0,0,,
